user_id,mean_events_per_session,mean_session_duration,mean_session_closed,mean_session_accepted,mean_nb_topics,active_days,mean_events,time_var,weekend_ratio,commit_time_CLOZE_MATH_x,commit_time_CLOZE_TEXT_x,commit_time_CLOZE_TEXT_DROPDOWN_x,commit_time_DND_GROUP_x,commit_time_DND_IN_TEXT_x,commit_time_DND_ORDER_x,commit_time_DND_PAIRS_x,commit_time_FIX_TEXT_x,commit_time_GRAPH_CLICK_POINTS_x,commit_time_GRAPH_SELECT_SHAPE_x,commit_time_GRAPH_SOLUTION_FIELD_x,commit_time_HIGHLIGHT_x,commit_time_MATH_STEP_BY_STEP_x,commit_time_MULTIPLE_CHOICE_x,commit_time_MULTI_COLOR_HIGHLIGHT_x,commit_time_OPEN_TASK_x,commit_time_SEPARATE_TEXT_x,commit_time_SOLUTION_FIELD_x,commit_time_CLOZE_MATH_y,commit_time_CLOZE_TEXT_y,commit_time_CLOZE_TEXT_DROPDOWN_y,commit_time_DND_GROUP_y,commit_time_DND_IN_TEXT_y,commit_time_DND_ORDER_y,commit_time_DND_PAIRS_y,commit_time_FIX_TEXT_y,commit_time_GRAPH_CLICK_POINTS_y,commit_time_GRAPH_SELECT_SHAPE_y,commit_time_GRAPH_SOLUTION_FIELD_y,commit_time_HIGHLIGHT_y,commit_time_MATH_STEP_BY_STEP_y,commit_time_MULTIPLE_CHOICE_y,commit_time_MULTI_COLOR_HIGHLIGHT_y,commit_time_OPEN_TASK_y,commit_time_SEPARATE_TEXT_y,commit_time_SOLUTION_FIELD_y,task_type_diversity,preferred_task_type
389379,8.333333333333334,3.1137166666666665,0.3333333333333333,1.0,1.0,1,0.20893141945773525,5.231636068092267,0.0,,0 days 00:02:48.104000,0 days 00:05:57.013000192,,,,,0 days 00:04:57.190000128,,,,,,,,,,,,0 days 00:02:48.104000,0 days 00:05:57.013000192,,,,,0 days 00:04:57.190000128,,,,,,,,,,,4,CLOZE_TEXT
389380,11.0,4.835866666666667,1.0,1.0,1.0,3,0.3444976076555024,6.050847974363615,0.0,,20 days 23:49:49.915000064,0 days 00:04:23.148000,,,,,,,,,,,0 days 00:01:40.780999936,10 days 11:50:33.186500096,,,,,20 days 23:49:49.915000064,0 days 00:04:23.148000,,,,,,,,,,,0 days 00:01:40.780999936,10 days 11:50:33.186500096,,,,7,CLOZE_TEXT_DROPDOWN
389386,11.166666666666666,23284.66813333333,1.0,1.0,1.0,7,0.4800637958532695,5.991541001628664,0.06312292358803986,,0 days 00:01:05.733000064,0 days 00:01:50.396999936,,,,42 days 22:30:45.105000192,,,,,0 days 00:03:50.635000064,,0 days 00:00:50.054000128,,43 days 00:31:56.973000064,,,,0 days 00:01:05.733000064,0 days 00:01:50.396999936,,,,42 days 22:30:45.105000192,,,,,0 days 00:03:50.635000064,,0 days 00:00:50.054000128,,43 days 00:31:56.973000064,,,8,CLOZE_TEXT_DROPDOWN
389389,14.0,2.389108333333333,1.0,1.0,1.0,2,0.10047846889952153,2.2190972808662144,0.12698412698412698,0 days 00:01:02.952000,,,,,,,,,,,,,0 days 00:00:23.526999808,,,,,0 days 00:01:02.952000,,,,,,,,,,,,,0 days 00:00:23.526999808,,,,,3,MULTIPLE_CHOICE
389391,12.0,1000.3804240740742,0.8888888888888888,1.0,1.0,4,0.6586921850079744,9.369497117890571,0.0,,,0 days 00:01:59.822000128,,,,,,,,,,,0 days 00:00:32.856000,,,,,,,0 days 00:01:59.822000128,,,,,,,,,,,0 days 00:00:32.856000,,,,,5,CLOZE_TEXT_DROPDOWN
389392,20.0,25920.607366666667,1.0,,1.0,6,0.4178628389154705,5.57672593037912,0.17557251908396945,,0 days 00:00:19.656000,0 days 00:01:13.832999936,,,,,0 days 00:04:16.604000,,,,,,,,,,,,0 days 00:00:19.656000,0 days 00:01:13.832999936,,,,,0 days 00:04:16.604000,,,,,,,,,,,6,CLOZE_TEXT
389393,13.366666666666667,1348.089488888889,0.9333333333333333,1.0,1.0,4,1.3508771929824561,19.60377510661095,0.0,0 days 00:09:40.095500032,0 days 00:01:15.727000064,0 days 00:00:46.058000128,,0 days 00:01:37.048000,,0 days 00:32:20.403000064,0 days 00:00:43.729000064,,0 days 00:10:33.004500096,,0 days 00:00:36.241500032,0 days 00:13:35.185999872,0 days 00:01:36.812000,,,,0 days 00:02:22.624999936,0 days 00:09:40.095500032,0 days 00:01:15.727000064,0 days 00:00:46.058000128,,0 days 00:01:37.048000,,0 days 00:32:20.403000064,0 days 00:00:43.729000064,,0 days 00:10:33.004500096,,0 days 00:00:36.241500032,0 days 00:13:35.185999872,0 days 00:01:36.812000,,,,0 days 00:02:22.624999936,14,MULTIPLE_CHOICE
389401,26.470588235294116,38392.941256862745,1.0,1.0,1.0,28,3.180223285486443,21.246786442550913,0.12938816449348045,0 days 00:11:41.928000,0 days 00:05:02.981000064,0 days 00:01:47.988000,,,,9 days 10:22:27.759000064,,5 days 15:09:13.433999872,5 days 14:36:41.745000192,1 days 14:49:32.255000064,0 days 00:02:02.949999872,0 days 00:08:08.349999872,0 days 00:47:34.157999872,0 days 00:01:18.384000,,,0 days 00:22:05.354000,0 days 00:11:41.928000,0 days 00:05:02.981000064,0 days 00:01:47.988000,,,,9 days 10:22:27.759000064,,5 days 15:09:13.433999872,5 days 14:36:41.745000192,1 days 14:49:32.255000064,0 days 00:02:02.949999872,0 days 00:08:08.349999872,0 days 00:47:34.157999872,0 days 00:01:18.384000,,,0 days 00:22:05.354000,14,CLOZE_MATH
389403,3.0,21116.883066666665,0.0,,1.0,15,1.6826156299840511,14.085648583680712,0.018957345971563982,0 days 00:15:46.259000064,,0 days 00:00:58.441000192,,,,7 days 18:45:20.683000064,,0 days 18:14:22.970000128,0 days 17:57:44.540999936,0 days 00:17:46.812999936,,0 days 00:03:23.296000,0 days 00:33:31.433499904,,,,3 days 11:26:10.710499968,0 days 00:15:46.259000064,,0 days 00:00:58.441000192,,,,7 days 18:45:20.683000064,,0 days 18:14:22.970000128,0 days 17:57:44.540999936,0 days 00:17:46.812999936,,0 days 00:03:23.296000,0 days 00:33:31.433499904,,,,3 days 11:26:10.710499968,10,CLOZE_MATH
389404,8.0,9006.202804166667,0.75,1.0,1.0,14,1.507177033492823,14.424681418697352,0.0,0 days 00:12:01.854499968,,3 days 03:05:09.829500032,34 days 03:09:11.712999936,,,13 days 02:56:42.129999872,,0 days 15:28:56.102000128,0 days 15:11:43.057000192,3 days 17:59:23.949499904,,0 days 00:03:41.486499968,0 days 00:25:52.160000,,,,0 days 01:00:38.292499968,0 days 00:12:01.854499968,,3 days 03:05:09.829500032,34 days 03:09:11.712999936,,,13 days 02:56:42.129999872,,0 days 15:28:56.102000128,0 days 15:11:43.057000192,3 days 17:59:23.949499904,,0 days 00:03:41.486499968,0 days 00:25:52.160000,,,,0 days 01:00:38.292499968,10,CLOZE_MATH
389405,15.783783783783784,13688.92686936937,0.972972972972973,1.0,1.0,20,3.4625199362041466,27.397962577246176,0.0,0 days 00:13:33.192000128,0 days 00:04:05.292999936,0 days 00:02:16.840999936,0 days 00:01:50.984499968,,,4 days 01:51:33.621999872,,0 days 00:53:37.633999872,0 days 00:42:14.425999872,0 days 00:10:22.137999872,0 days 00:16:52.539999744,0 days 00:03:59.401999872,0 days 00:04:50.877000064,0 days 00:04:00.535000064,343 days 04:13:15.564000,,0 days 00:12:54.224000,0 days 00:13:33.192000128,0 days 00:04:05.292999936,0 days 00:02:16.840999936,0 days 00:01:50.984499968,,,4 days 01:51:33.621999872,,0 days 00:53:37.633999872,0 days 00:42:14.425999872,0 days 00:10:22.137999872,0 days 00:16:52.539999744,0 days 00:03:59.401999872,0 days 00:04:50.877000064,0 days 00:04:00.535000064,343 days 04:13:15.564000,,0 days 00:12:54.224000,15,MULTIPLE_CHOICE
389407,7.0,86455.79336666666,0.0,1.0,1.0,11,1.5821371610845294,14.481150022300632,0.0,0 days 00:21:31.128999936,,0 days 00:01:00.506000128,,,,7 days 00:18:56.980999936,,0 days 16:55:41.164000,0 days 16:50:52.019000064,0 days 16:48:10.324999936,,0 days 00:04:13.395000064,0 days 00:19:52.878999808,,,,3 days 11:29:01.814000128,0 days 00:21:31.128999936,,0 days 00:01:00.506000128,,,,7 days 00:18:56.980999936,,0 days 16:55:41.164000,0 days 16:50:52.019000064,0 days 16:48:10.324999936,,0 days 00:04:13.395000064,0 days 00:19:52.878999808,,,,3 days 11:29:01.814000128,10,CLOZE_MATH
389408,14.5,4876.752580555555,0.8333333333333334,1.0,1.0,14,1.9362041467304625,16.98794198215087,0.019769357495881382,0 days 00:09:28.297000064,,3 days 12:15:21.025500032,,,,9 days 01:36:09.386999936,,3 days 20:43:48.402999936,6 days 19:50:52.044000,0 days 00:22:46.533999872,,0 days 00:04:18.671000064,0 days 00:14:53.820000,,,,0 days 00:47:10.473000064,0 days 00:09:28.297000064,,3 days 12:15:21.025500032,,,,9 days 01:36:09.386999936,,3 days 20:43:48.402999936,6 days 19:50:52.044000,0 days 00:22:46.533999872,,0 days 00:04:18.671000064,0 days 00:14:53.820000,,,,0 days 00:47:10.473000064,10,CLOZE_MATH
389409,12.333333333333334,6.949308333333334,0.8333333333333334,1.0,1.0,14,1.7161084529505581,13.433154070513217,0.006505576208178439,0 days 00:21:32.385999872,0 days 00:00:31.347999744,0 days 09:25:32.245999872,233 days 18:53:24.636000,,,7 days 00:19:37.012000,,0 days 18:43:25.544000,0 days 18:29:57.213000192,21 days 00:54:28.780999936,0 days 00:01:10.878500096,0 days 00:04:19.240000,0 days 00:19:02.672999936,0 days 00:06:10.827500032,,,0 days 06:54:19.812499840,0 days 00:21:32.385999872,0 days 00:00:31.347999744,0 days 09:25:32.245999872,233 days 18:53:24.636000,,,7 days 00:19:37.012000,,0 days 18:43:25.544000,0 days 18:29:57.213000192,21 days 00:54:28.780999936,0 days 00:01:10.878500096,0 days 00:04:19.240000,0 days 00:19:02.672999936,0 days 00:06:10.827500032,,,0 days 06:54:19.812499840,13,CLOZE_MATH
